Index,x,y,z,ROLL,PITCH,YAW
1,894.5318679845112,1613.0757785161854,-707.3315242031306,116.12903225806453,23.225806451612904,438.38709677419354
2,487.36114949056645,1369.5517017006293,841.7677056620338,34.83870967741935,34.83870967741935,368.7096774193548
3,1129.7149620684713,1283.3586503391114,-33.592883445656874,23.225806451612904,162.5806451612903,113.2258064516129
4,21.076776517785767,1724.9471840416397,872.189093769447,150.96774193548387,104.51612903225808,322.258064516129
5,-1482.6713087038315,1705.5709301469954,179.74522685262642,0.0,0.0,159.67741935483872
6,272.2975429082604,1537.9084848789723,860.7831280352261,150.96774193548387,69.6774193548387,415.1612903225806
7,106.39176926652141,1611.0643770808829,888.8751975589577,58.06451612903226,127.74193548387098,171.29032258064515
8,986.1972575632548,1592.6302492076366,-699.728592040516,81.29032258064515,81.29032258064515,426.77419354838713
9,788.4842357387464,1548.0401329894937,77.63780190914727,116.12903225806453,162.5806451612903,182.90322580645162
10,-1282.2147891440377,1789.032998812042,-154.63984340475267,81.29032258064515,69.6774193548387,113.2258064516129
11,23.902645587320492,1358.7417987969084,816.7208048601177,11.612903225806452,46.45161290322581,380.32258064516134
12,404.2838300911291,1338.6922455189072,-503.9772978961011,116.12903225806453,81.29032258064515,391.93548387096774
13,-668.2132616312001,1488.1534835036416,-875.295205737859,58.06451612903226,116.12903225806453,229.3548387096774
14,-856.8809641513426,1621.1829104176913,-169.02261720330145,150.96774193548387,11.612903225806452,287.41935483870964
15,-665.2532845527671,1287.5692436845193,-507.92792790035026,11.612903225806452,46.45161290322581,194.51612903225808
16,1268.0119194320919,1688.7855556126042,-606.5355513181233,11.612903225806452,174.19354838709677,194.51612903225808
17,283.5976918697661,1832.4149135192372,-883.6628112200667,58.06451612903226,69.6774193548387,252.5806451612903
18,833.2019529240168,1705.0053007487322,-506.0193836371349,58.06451612903226,150.96774193548387,159.67741935483872
19,-1157.0933752848514,1655.7296690148305,-737.7172564921593,81.29032258064515,69.6774193548387,275.80645161290323
20,140.57592849521131,1659.033497414022,748.8158673790596,11.612903225806452,81.29032258064515,438.38709677419354
21,108.43721439624971,1729.709002364258,-1136.472289491525,58.06451612903226,104.51612903225808,206.1290322580645
22,1053.9651369516869,1478.036799423528,235.46643404960807,23.225806451612904,92.90322580645162,438.38709677419354
